Archivo,Tiempo (segundos),Calidad
100-300-001.txt,0.18469,0
100-300-002.txt,0.183344,0
100-300-003.txt,0.179167,1
100-300-004.txt,0.182824,0
100-300-005.txt,0.213602,0
100-300-006.txt,0.212677,0
100-300-007.txt,0.213508,0
100-300-008.txt,0.219892,0
100-300-009.txt,0.209678,1
100-300-010.txt,0.180417,0
100-300-011.txt,0.179346,0
100-300-012.txt,0.178288,0
100-300-013.txt,0.178738,0
100-300-014.txt,0.179144,0
100-300-015.txt,0.184637,0
100-300-016.txt,0.185413,0
100-300-017.txt,0.184769,0
100-300-018.txt,0.1856,0
100-300-019.txt,0.181967,1
100-300-020.txt,0.185283,0
100-300-021.txt,0.184911,2
100-300-022.txt,0.185862,0
100-300-023.txt,0.185563,0
100-300-024.txt,0.185997,0
100-300-025.txt,0.186033,0
100-300-026.txt,0.170783,0
100-300-027.txt,0.170444,0
100-300-028.txt,0.172085,0
100-300-029.txt,0.170845,0
100-300-030.txt,0.171197,0
100-300-031.txt,0.195073,0
100-300-032.txt,0.196806,0
100-300-033.txt,0.194997,0
100-300-034.txt,0.193598,1
100-300-035.txt,0.196676,0
100-300-036.txt,0.17826,0
100-300-037.txt,0.178322,0
100-300-038.txt,0.179412,0
100-300-039.txt,0.17814,0
100-300-040.txt,0.181537,0
100-300-041.txt,0.176844,1
100-300-042.txt,0.177375,0
100-300-043.txt,0.17673,0
100-300-044.txt,0.176146,0
100-300-045.txt,0.176123,0
100-300-046.txt,0.177063,0
100-300-047.txt,0.172866,0
100-300-048.txt,0.173048,0
100-300-049.txt,0.173512,0
100-300-050.txt,0.173452,0
100-300-051.txt,0.173241,0
100-300-052.txt,0.17298,0
100-300-053.txt,0.172836,0
100-300-054.txt,0.171867,0
100-300-055.txt,0.172029,0
100-300-056.txt,0.171323,0
100-300-057.txt,0.17268,0
100-300-058.txt,0.171618,0
100-300-059.txt,0.17109,0
100-300-060.txt,0.172525,0
100-300-061.txt,0.171221,0
100-300-062.txt,0.1713,0
100-300-063.txt,0.171153,0
100-300-064.txt,0.172923,0
100-300-065.txt,0.188849,0
100-300-066.txt,0.188648,0
100-300-067.txt,0.187608,1
100-300-068.txt,0.188471,0
100-300-069.txt,0.188399,0
100-300-070.txt,0.203145,1
100-300-071.txt,0.202686,1
100-300-072.txt,0.208381,0
100-300-073.txt,0.205391,0
100-300-074.txt,0.206875,0
100-300-075.txt,0.174579,0
100-300-076.txt,0.174202,0
100-300-077.txt,0.175083,0
100-300-078.txt,0.176724,0
100-300-079.txt,0.173516,0
100-300-080.txt,0.190713,0
100-300-081.txt,0.191924,0
100-300-082.txt,0.190504,0
100-300-083.txt,0.190808,0
100-300-084.txt,0.191959,0
100-300-085.txt,0.194238,0
100-300-086.txt,0.19391,0
100-300-087.txt,0.195192,0
