Archivo,Tiempo (segundos),Calidad
100-300-001.txt,0.303487,100
100-300-002.txt,0.299465,95
100-300-003.txt,0.299267,98
100-300-004.txt,0.303348,98
100-300-005.txt,0.299114,95
100-300-006.txt,0.301853,97
100-300-007.txt,0.300386,98
100-300-008.txt,0.303033,97
100-300-009.txt,0.29798,98
100-300-010.txt,0.299604,99
100-300-011.txt,0.304463,98
100-300-012.txt,0.301181,97
100-300-013.txt,0.30389,99
100-300-014.txt,0.301345,99
100-300-015.txt,0.298445,96
100-300-016.txt,0.30078,99
100-300-017.txt,0.306543,97
100-300-018.txt,0.302065,97
100-300-019.txt,0.303284,98
100-300-020.txt,0.301179,98
100-300-021.txt,0.302486,100
100-300-022.txt,0.304006,98
100-300-023.txt,0.300637,97
100-300-024.txt,0.317822,96
100-300-025.txt,0.297463,97
100-300-026.txt,0.306447,98
100-300-027.txt,0.302045,97
100-300-028.txt,0.298848,96
100-300-029.txt,0.302637,96
100-300-030.txt,0.304894,96
100-300-031.txt,0.297807,97
100-300-032.txt,0.33652,96
100-300-033.txt,0.308056,98
100-300-034.txt,0.306648,96
100-300-035.txt,0.309453,98
100-300-036.txt,0.316089,96
100-300-037.txt,0.307161,98
100-300-038.txt,0.301151,99
100-300-039.txt,0.325242,98
100-300-040.txt,0.307229,98
100-300-041.txt,0.302857,98
100-300-042.txt,0.302661,98
100-300-043.txt,0.301208,95
100-300-044.txt,0.303661,98
100-300-045.txt,0.306277,99
100-300-046.txt,0.298815,97
100-300-047.txt,0.304468,95
100-300-048.txt,0.298837,98
100-300-049.txt,0.313103,94
100-300-050.txt,0.338157,96
100-300-051.txt,0.35227,99
100-300-052.txt,0.312536,97
100-300-053.txt,0.333357,99
100-300-054.txt,0.321165,100
100-300-055.txt,0.333511,99
100-300-056.txt,0.323709,97
100-300-057.txt,0.363287,98
100-300-058.txt,0.353488,96
100-300-059.txt,0.315335,97
100-300-060.txt,0.367637,98
100-300-061.txt,0.372929,99
100-300-062.txt,0.327923,98
100-300-063.txt,0.314416,99
100-300-064.txt,0.300838,99
100-300-065.txt,0.303865,98
100-300-066.txt,0.30371,98
100-300-067.txt,0.313291,98
100-300-068.txt,0.303847,97
100-300-069.txt,0.307077,97
100-300-070.txt,0.305432,100
100-300-071.txt,0.300417,99
100-300-072.txt,0.303902,100
100-300-073.txt,0.301424,95
100-300-074.txt,0.329868,100
100-300-075.txt,0.316416,99
100-300-076.txt,0.305394,99
100-300-077.txt,0.302183,99
100-300-078.txt,0.3094,99
100-300-079.txt,0.305277,96
100-300-080.txt,0.304119,98
100-300-081.txt,0.304164,98
100-300-082.txt,0.30438,99
100-300-083.txt,0.30727,97
100-300-084.txt,0.334259,98
100-300-085.txt,0.3094,96
100-300-086.txt,0.305198,98
100-300-087.txt,0.314121,99
100-300-088.txt,0.328105,98
100-300-089.txt,0.31895,97
100-300-090.txt,0.305122,97
100-300-091.txt,0.307989,98
100-300-092.txt,0.314338,97
100-300-093.txt,0.301884,99
100-300-094.txt,0.316822,97
100-300-095.txt,0.301897,97
100-300-096.txt,0.304491,99
100-300-097.txt,0.304248,100
100-300-098.txt,0.29804,98
100-300-099.txt,0.304424,98
100-300-100.txt,0.320304,97
100-600-001.txt,1.28452,99
100-600-002.txt,1.32935,100
100-600-003.txt,1.28437,100
100-600-004.txt,1.38305,100
100-600-005.txt,1.37849,99
100-600-006.txt,1.37764,100
100-600-007.txt,1.29562,100
100-600-008.txt,1.30056,100
100-600-009.txt,1.24891,100
100-600-010.txt,1.30048,100
100-600-011.txt,1.28854,100
100-600-012.txt,1.30282,100
100-600-013.txt,1.26598,100
100-600-014.txt,1.30097,100
100-600-015.txt,1.28278,100
100-600-016.txt,1.24069,100
100-600-017.txt,1.39816,100
100-600-018.txt,1.31227,99
100-600-019.txt,1.48964,100
100-600-020.txt,1.62903,100
100-600-021.txt,1.29226,100
100-600-022.txt,1.28879,99
100-600-023.txt,1.26325,100
100-600-024.txt,1.25877,100
100-600-025.txt,1.23903,100
100-600-026.txt,1.24165,100
100-600-027.txt,1.27875,100
100-600-028.txt,1.26456,100
100-600-029.txt,1.23973,100
100-600-030.txt,1.26822,100
100-600-031.txt,1.26523,100
100-600-032.txt,1.23981,100
100-600-033.txt,1.24255,100
100-600-034.txt,1.24958,100
100-600-035.txt,1.25695,100
100-600-036.txt,1.25443,100
100-600-037.txt,1.25433,100
100-600-038.txt,1.23254,100
100-600-039.txt,1.25183,100
100-600-040.txt,1.25678,99
100-600-041.txt,1.23904,100
100-600-042.txt,1.26184,100
100-600-043.txt,1.24965,100
100-600-044.txt,1.26037,100
100-600-045.txt,1.23136,100
100-600-046.txt,1.24064,100
100-600-047.txt,1.26337,100
100-600-048.txt,1.2478,100
100-600-049.txt,1.26036,100
100-600-050.txt,1.24726,100
100-600-051.txt,1.23716,99
100-600-052.txt,1.25918,100
100-600-053.txt,1.23807,100
100-600-054.txt,1.24015,100
100-600-055.txt,1.24997,100
100-600-056.txt,1.25447,100
100-600-057.txt,1.25317,100
100-600-058.txt,1.25737,100
100-600-059.txt,1.24608,100
100-600-060.txt,1.2539,100
100-600-061.txt,1.25334,100
100-600-062.txt,1.25555,100
100-600-063.txt,1.25374,100
100-600-064.txt,1.25873,100
100-600-065.txt,1.25432,100
100-600-066.txt,1.24972,100
100-600-067.txt,1.25994,100
100-600-068.txt,1.24443,100
100-600-069.txt,1.66474,100
100-600-070.txt,1.48361,100
100-600-071.txt,1.25452,100
100-600-072.txt,1.24963,100
100-600-073.txt,1.24871,100
100-600-074.txt,1.25608,100
100-600-075.txt,1.27122,100
100-600-076.txt,1.24982,100
100-600-077.txt,1.25156,100
100-600-078.txt,1.2647,100
100-600-079.txt,1.25394,100
100-600-080.txt,1.2528,100
100-600-081.txt,1.31325,100
100-600-082.txt,1.26371,99
100-600-083.txt,1.25962,100
100-600-084.txt,1.25086,100
100-600-085.txt,1.28622,100
100-600-086.txt,1.24782,100
100-600-087.txt,1.25383,100
100-600-088.txt,1.25783,100
100-600-089.txt,1.25762,100
100-600-090.txt,1.24607,100
100-600-091.txt,1.25128,100
100-600-092.txt,1.26447,100
100-600-093.txt,1.26619,100
100-600-094.txt,1.25559,100
100-600-095.txt,1.2492,100
100-600-096.txt,1.24907,100
100-600-097.txt,1.25457,100
100-600-098.txt,1.24984,100
100-600-099.txt,1.24181,99
100-600-100.txt,1.24122,99
100-800-001.txt,2.2446,100
100-800-002.txt,2.24549,100
100-800-003.txt,2.25439,100
