Archivo,Tiempo (segundos),Calidad
100-300-001.txt,0.188738,21
100-300-002.txt,0.185189,14
100-300-003.txt,0.163772,13
100-300-004.txt,0.16341,14
100-300-005.txt,0.164134,13
100-300-006.txt,0.164436,11
100-300-007.txt,0.163696,19
100-300-008.txt,0.165691,14
100-300-009.txt,0.204538,23
100-300-010.txt,0.207022,12
100-300-011.txt,0.209962,10
100-300-012.txt,0.202471,20
100-300-013.txt,0.207472,14
100-300-014.txt,0.17769,12
100-300-015.txt,0.170788,12
100-300-016.txt,0.17426,16
100-300-017.txt,0.167054,14
100-300-018.txt,0.169381,11
100-300-019.txt,0.171561,15
100-300-020.txt,0.164279,15
100-300-021.txt,0.17228,13
100-300-022.txt,0.166653,18
100-300-023.txt,0.168958,13
100-300-024.txt,0.169576,15
100-300-025.txt,0.172034,15
100-300-026.txt,0.173393,15
100-300-027.txt,0.172772,12
100-300-028.txt,0.178845,16
100-300-029.txt,0.170063,12
100-300-030.txt,0.168594,17
100-300-031.txt,0.188169,14
100-300-032.txt,0.192136,13
100-300-033.txt,0.19858,17
100-300-034.txt,0.190066,11
100-300-035.txt,0.19544,7
100-300-036.txt,0.193616,17
100-300-037.txt,0.195223,18
100-300-038.txt,0.197022,20
100-300-039.txt,0.197273,17
100-300-040.txt,0.195629,17
100-300-041.txt,0.173877,13
100-300-042.txt,0.177064,3
100-300-043.txt,0.174528,5
100-300-044.txt,0.1748,4
100-300-045.txt,0.173974,16
100-300-046.txt,0.172309,14
100-300-047.txt,0.154822,10
100-300-048.txt,0.161345,7
100-300-049.txt,0.161646,12
100-300-050.txt,0.156976,7
100-300-051.txt,0.155201,16
100-300-052.txt,0.15912,11
100-300-053.txt,0.173377,15
100-300-054.txt,0.17119,10
100-300-055.txt,0.173868,9
100-300-056.txt,0.174375,8
100-300-057.txt,0.170879,13
100-300-058.txt,0.170948,11
100-300-059.txt,0.176258,11
100-300-060.txt,0.172939,8
100-300-061.txt,0.170048,7
100-300-062.txt,0.173686,4
100-300-063.txt,0.171791,11
100-300-064.txt,0.19542,23
100-300-065.txt,0.204121,21
100-300-066.txt,0.197771,19
100-300-067.txt,0.198793,13
100-300-068.txt,0.196949,25
100-300-069.txt,0.169711,13
100-300-070.txt,0.169445,11
100-300-071.txt,0.161702,12
100-300-072.txt,0.160937,15
100-300-073.txt,0.166644,8
100-300-074.txt,0.168479,10
100-300-075.txt,0.176606,9
100-300-076.txt,0.179969,13
100-300-077.txt,0.181106,12
100-300-078.txt,0.178127,19
100-300-079.txt,0.176471,8
100-300-080.txt,0.183697,3
100-300-081.txt,0.166037,16
100-300-082.txt,0.170052,6
100-300-083.txt,0.168229,19
100-300-084.txt,0.169641,15
100-300-085.txt,0.172037,20
100-300-086.txt,0.169777,16
100-300-087.txt,0.167669,16
100-300-088.txt,0.161829,18
100-300-089.txt,0.170594,9
100-300-090.txt,0.15897,18
100-300-091.txt,0.159465,16
100-300-092.txt,0.162293,10
100-300-093.txt,0.185817,19
100-300-094.txt,0.185076,15
100-300-095.txt,0.186996,19
100-300-096.txt,0.182719,5
100-300-097.txt,0.188643,17
100-300-098.txt,0.185979,17
100-300-099.txt,0.18305,15
100-300-100.txt,0.187795,12
100-600-001.txt,0.795776,12
100-600-002.txt,0.800003,12
100-600-003.txt,0.682874,4
100-600-004.txt,0.684505,5
100-600-005.txt,0.787579,10
100-600-006.txt,0.738861,7
100-600-007.txt,0.72928,7
100-600-008.txt,0.727564,8
100-600-009.txt,0.779253,8
100-600-010.txt,0.660126,9
100-600-011.txt,0.732481,7
100-600-012.txt,0.735535,9
100-600-013.txt,0.758441,2
100-600-014.txt,0.721124,8
100-600-015.txt,0.669252,3
100-600-016.txt,0.664384,2
100-600-017.txt,0.738303,2
100-600-018.txt,0.712776,5
100-600-019.txt,0.718946,4
100-600-020.txt,0.73373,4
100-600-021.txt,0.742488,1
100-600-022.txt,0.680011,2
100-600-023.txt,0.691911,9
100-600-024.txt,0.742548,9
100-600-025.txt,0.717167,7
100-600-026.txt,0.721546,8
100-600-027.txt,0.740994,12
100-600-028.txt,0.731519,4
100-600-029.txt,0.712152,5
100-600-030.txt,0.707072,1
100-600-031.txt,0.731178,7
100-600-032.txt,0.773032,12
100-600-033.txt,0.762393,8
100-600-034.txt,0.769744,5
100-600-035.txt,0.749597,10
100-600-036.txt,0.751522,4
100-600-037.txt,0.715076,5
100-600-038.txt,0.716479,4
100-600-039.txt,0.726325,8
100-600-040.txt,0.822201,5
100-600-041.txt,0.750989,12
100-600-042.txt,0.762086,7
100-600-043.txt,0.659412,8
100-600-044.txt,0.742933,3
100-600-045.txt,0.757914,11
100-600-046.txt,0.751933,12
100-600-047.txt,0.712819,4
100-600-048.txt,0.719254,6
100-600-049.txt,0.74306,2
100-600-050.txt,0.707807,5
100-600-051.txt,0.740705,12
100-600-052.txt,0.697006,11
100-600-053.txt,0.700705,8
100-600-054.txt,0.75001,8
100-600-055.txt,0.628466,7
100-600-056.txt,0.646131,3
100-600-057.txt,0.732248,10
100-600-058.txt,0.710841,2
100-600-059.txt,0.767275,10
100-600-060.txt,0.758763,12
100-600-061.txt,0.780725,7
100-600-062.txt,0.719466,10
100-600-063.txt,0.68858,8
100-600-064.txt,0.685792,6
100-600-065.txt,0.754675,11
100-600-066.txt,0.722155,2
100-600-067.txt,0.717343,2
100-600-068.txt,0.741676,11
100-600-069.txt,0.756195,2
100-600-070.txt,0.700023,9
100-600-071.txt,0.713276,1
100-600-072.txt,0.722894,4
100-600-073.txt,0.745019,8
100-600-074.txt,0.736808,5
100-600-075.txt,0.734898,6
100-600-076.txt,0.765527,8
100-600-077.txt,0.728115,7
100-600-078.txt,0.654726,6
100-600-079.txt,0.661398,4
100-600-080.txt,0.725174,5
100-600-081.txt,0.718862,7
100-600-082.txt,0.72148,8
100-600-083.txt,0.76651,12
100-600-084.txt,0.802342,10
100-600-085.txt,0.765252,2
100-600-086.txt,0.753874,6
100-600-087.txt,0.746604,5
100-600-088.txt,0.7307,8
100-600-089.txt,0.758983,10
100-600-090.txt,0.762361,7
100-600-091.txt,0.780025,8
100-600-092.txt,0.703673,2
100-600-093.txt,0.71188,8
100-600-094.txt,0.726866,7
100-600-095.txt,0.753999,8
100-600-096.txt,0.697239,11
100-600-097.txt,0.696308,2
100-600-098.txt,0.68542,10
100-600-099.txt,0.768556,7
100-600-100.txt,0.715533,9
100-800-001.txt,1.24098,4
100-800-002.txt,1.39646,8
100-800-003.txt,1.35559,4
100-800-004.txt,1.18233,3
100-800-005.txt,1.33427,3
100-800-006.txt,1.31149,2
100-800-007.txt,1.34789,7
100-800-008.txt,1.28545,4
100-800-009.txt,1.25903,1
100-800-010.txt,1.22644,3
100-800-011.txt,1.24395,4
100-800-012.txt,1.35005,3
100-800-013.txt,1.3816,5
100-800-014.txt,1.28351,3
100-800-015.txt,1.27144,5
100-800-016.txt,1.37082,2
100-800-017.txt,1.26556,6
100-800-018.txt,1.29139,3
100-800-019.txt,1.26748,8
100-800-020.txt,1.32891,4
100-800-021.txt,1.41341,2
100-800-022.txt,1.29043,5
100-800-023.txt,1.32859,5
100-800-024.txt,1.27959,3
100-800-025.txt,1.29294,6
100-800-026.txt,1.16589,2
100-800-027.txt,1.25757,4
100-800-028.txt,1.23036,3
100-800-029.txt,1.35489,4
100-800-030.txt,1.37226,3
100-800-031.txt,1.36918,5
100-800-032.txt,1.30256,3
100-800-033.txt,1.24361,1
100-800-034.txt,1.31265,5
100-800-035.txt,1.22789,3
100-800-036.txt,1.26689,3
100-800-037.txt,1.25311,4
100-800-038.txt,1.24858,8
100-800-039.txt,1.30002,5
100-800-040.txt,1.35059,5
100-800-041.txt,1.34766,5
100-800-042.txt,1.27111,3
100-800-043.txt,1.37988,12
100-800-044.txt,1.2471,2
100-800-045.txt,1.31684,7
100-800-046.txt,1.28109,5
100-800-047.txt,1.24302,5
100-800-048.txt,1.36073,5
100-800-049.txt,1.34836,6
100-800-050.txt,1.34868,4
100-800-051.txt,1.4174,4
100-800-052.txt,1.27122,4
100-800-053.txt,1.37417,5
100-800-054.txt,1.13787,2
100-800-055.txt,1.22385,2
100-800-056.txt,1.23229,3
100-800-057.txt,1.3069,4
100-800-058.txt,1.2734,3
100-800-059.txt,1.3379,5
100-800-060.txt,1.34645,2
100-800-061.txt,1.23115,1
100-800-062.txt,1.26077,10
100-800-063.txt,1.3648,4
100-800-064.txt,1.32125,5
100-800-065.txt,1.29111,2
100-800-066.txt,1.25436,3
100-800-067.txt,1.39286,6
100-800-068.txt,1.2342,4
100-800-069.txt,1.36641,6
100-800-070.txt,1.26174,5
100-800-071.txt,1.40985,8
100-800-072.txt,1.31901,3
100-800-073.txt,1.29583,7
100-800-074.txt,1.23067,2
100-800-075.txt,1.35725,2
100-800-076.txt,1.2156,6
100-800-077.txt,1.28588,0
100-800-078.txt,1.34079,0
100-800-079.txt,1.34701,10
100-800-080.txt,1.38956,5
100-800-081.txt,1.25682,1
100-800-082.txt,1.26797,4
100-800-083.txt,1.26465,1
100-800-084.txt,1.37022,5
100-800-085.txt,1.27869,1
100-800-086.txt,1.2898,3
100-800-087.txt,1.30835,2
100-800-088.txt,1.37259,4
100-800-089.txt,1.28407,2
100-800-090.txt,1.32764,2
100-800-091.txt,1.2338,4
100-800-092.txt,1.40742,11
100-800-093.txt,1.25538,2
100-800-094.txt,1.26505,3
100-800-095.txt,1.26547,2
100-800-096.txt,1.24778,3
100-800-097.txt,1.34149,6
100-800-098.txt,1.21316,3
100-800-099.txt,1.20367,4
100-800-100.txt,1.35087,2
200-300-001.txt,0.37619,12
200-300-002.txt,0.362103,23
200-300-003.txt,0.377735,10
200-300-004.txt,0.329433,26
200-300-005.txt,0.344471,10
200-300-006.txt,0.303586,9
200-300-007.txt,0.313106,12
200-300-008.txt,0.301958,11
200-300-009.txt,0.313156,13
200-300-010.txt,0.354726,24
200-300-011.txt,0.360299,19
200-300-012.txt,0.314928,29
200-300-013.txt,0.325803,12
200-300-014.txt,0.312551,15
200-300-015.txt,0.32538,13
200-300-016.txt,0.41564,10
200-300-017.txt,0.419479,27
200-300-018.txt,0.337849,18
200-300-019.txt,0.335245,4
200-300-020.txt,0.33937,7
200-300-021.txt,0.388685,11
200-300-022.txt,0.38506,21
200-300-023.txt,0.379727,21
200-300-024.txt,0.41348,14
200-300-025.txt,0.405797,18
200-300-026.txt,0.347144,12
200-300-027.txt,0.346907,21
200-300-028.txt,0.349889,19
200-300-029.txt,0.325974,15
200-300-030.txt,0.326757,17
200-300-031.txt,0.32209,24
200-300-032.txt,0.375212,16
200-300-033.txt,0.370558,17
200-300-034.txt,0.38436,21
200-300-035.txt,0.35969,19
200-300-036.txt,0.36665,22
200-300-037.txt,0.37617,22
200-300-038.txt,0.371836,14
200-300-039.txt,0.380046,25
200-300-040.txt,0.369121,17
200-300-041.txt,0.367727,16
200-300-042.txt,0.365631,11
200-300-043.txt,0.386406,18
200-300-044.txt,0.398375,14
200-300-045.txt,0.332747,21
200-300-046.txt,0.346395,13
200-300-047.txt,0.337118,15
200-300-048.txt,0.379468,11
200-300-049.txt,0.382828,7
200-300-050.txt,0.374945,24
200-300-051.txt,0.284639,15
200-300-052.txt,0.290556,20
200-300-053.txt,0.286951,11
200-300-054.txt,0.417629,21
200-300-055.txt,0.423203,27
200-300-056.txt,0.406828,25
200-300-057.txt,0.375029,12
200-300-058.txt,0.364497,23
200-300-059.txt,0.346755,13
200-300-060.txt,0.334223,16
200-300-061.txt,0.332792,27
200-300-062.txt,0.33636,21
200-300-063.txt,0.336296,14
200-300-064.txt,0.341364,17
200-300-065.txt,0.366076,29
200-300-066.txt,0.370237,11
200-300-067.txt,0.371157,15
200-300-068.txt,0.333404,13
200-300-069.txt,0.334528,18
200-300-070.txt,0.33962,6
200-300-071.txt,0.364713,20
200-300-072.txt,0.351007,18
200-300-073.txt,0.333166,12
200-300-074.txt,0.334268,14
200-300-075.txt,0.330865,21
200-300-076.txt,0.37846,16
200-300-077.txt,0.374462,19
200-300-078.txt,0.376431,25
200-300-079.txt,0.358994,14
200-300-080.txt,0.355175,26
200-300-081.txt,0.349815,22
200-300-082.txt,0.35982,9
200-300-083.txt,0.37645,13
200-300-084.txt,0.380772,14
200-300-085.txt,0.391465,22
200-300-086.txt,0.370002,18
200-300-087.txt,0.342541,17
200-300-088.txt,0.344418,15
200-300-089.txt,0.338253,17
200-300-090.txt,0.364603,12
200-300-091.txt,0.346281,17
200-300-092.txt,0.349896,20
200-300-093.txt,0.373963,28
200-300-094.txt,0.373608,22
200-300-095.txt,0.335833,26
200-300-096.txt,0.339878,23
200-300-097.txt,0.344642,18
200-300-098.txt,0.315926,16
200-300-099.txt,0.316522,14
200-300-100.txt,0.317452,19
200-600-001.txt,1.39236,6
200-600-002.txt,1.3195,2
200-600-003.txt,1.51225,6
200-600-004.txt,1.46964,7
200-600-005.txt,1.45429,6
200-600-006.txt,1.49743,2
200-600-007.txt,1.51509,5
200-600-008.txt,1.38896,7
200-600-009.txt,1.38636,6
200-600-010.txt,1.47982,9
200-600-011.txt,1.39535,2
200-600-012.txt,1.49086,5
200-600-013.txt,1.37469,10
200-600-014.txt,1.58987,5
200-600-015.txt,1.53399,4
200-600-016.txt,1.38044,10
200-600-017.txt,1.51163,6
200-600-018.txt,1.48283,3
200-600-019.txt,1.34068,4
200-600-020.txt,1.49882,8
200-600-021.txt,1.56191,8
200-600-022.txt,1.60423,2
200-600-023.txt,1.43408,5
200-600-024.txt,1.52317,3
200-600-025.txt,1.56548,5
200-600-026.txt,1.44182,6
200-600-027.txt,1.50061,1
200-600-028.txt,1.44101,8
200-600-029.txt,1.54245,7
200-600-030.txt,1.39114,13
200-600-031.txt,1.57675,7
200-600-032.txt,1.51831,3
200-600-033.txt,1.33595,4
200-600-034.txt,1.39529,8
200-600-035.txt,1.42833,7
200-600-036.txt,1.43498,7
200-600-037.txt,1.46585,7
200-600-038.txt,1.5182,6
200-600-039.txt,1.43674,2
200-600-040.txt,1.52623,7
200-600-041.txt,1.58804,12
200-600-042.txt,1.58325,5
200-600-043.txt,1.3968,2
200-600-044.txt,1.43483,2
200-600-045.txt,1.47754,6
200-600-046.txt,1.30581,5
200-600-047.txt,1.43182,3
200-600-048.txt,1.47518,9
200-600-049.txt,1.44058,2
200-600-050.txt,1.46002,7
200-600-051.txt,1.56263,4
200-600-052.txt,1.53677,7
200-600-053.txt,1.43941,4
200-600-054.txt,1.48858,7
200-600-055.txt,1.46145,5
200-600-056.txt,1.31884,7
200-600-057.txt,1.46359,11
200-600-058.txt,1.41581,6
200-600-059.txt,1.50098,6
200-600-060.txt,1.44047,5
200-600-061.txt,1.58813,6
200-600-062.txt,1.56613,6
200-600-063.txt,1.45957,10
200-600-064.txt,1.4843,8
200-600-065.txt,1.4058,4
200-600-066.txt,1.53556,2
200-600-067.txt,1.47708,1
200-600-068.txt,1.5454,5
200-600-069.txt,1.41405,6
200-600-070.txt,1.50056,2
200-600-071.txt,1.46929,2
200-600-072.txt,1.45825,9
200-600-073.txt,1.44746,5
200-600-074.txt,1.4853,4
200-600-075.txt,1.45355,6
200-600-076.txt,1.32668,3
200-600-077.txt,1.53283,6
200-600-078.txt,1.4515,7
200-600-079.txt,1.28038,8
200-600-080.txt,1.37658,11
200-600-081.txt,1.44565,3
200-600-082.txt,1.42252,4
200-600-083.txt,1.43656,5
200-600-084.txt,1.47935,4
200-600-085.txt,1.48159,8
200-600-086.txt,1.41872,9
