Archivo,Tiempo (segundos),Calidad
100-300-001.txt,0.348642,56
100-300-002.txt,0.341633,51
100-300-003.txt,0.342211,47
100-300-004.txt,0.353212,50
100-300-005.txt,0.34466,47
100-300-006.txt,0.344562,55
100-300-007.txt,0.346716,51
100-300-008.txt,0.342982,49
100-300-009.txt,0.33906,48
100-300-010.txt,0.343691,49
100-300-011.txt,0.344046,45
100-300-012.txt,0.343807,57
100-300-013.txt,0.344004,52
100-300-014.txt,0.347035,49
100-300-015.txt,0.342219,54
100-300-016.txt,0.344184,54
100-300-017.txt,0.345768,52
100-300-018.txt,0.339281,46
100-300-019.txt,0.346971,47
100-300-020.txt,0.340369,49
100-300-021.txt,0.346369,55
100-300-022.txt,0.344415,49
100-300-023.txt,0.340854,53
100-300-024.txt,0.344804,46
100-300-025.txt,0.340706,52
100-300-026.txt,0.343261,52
100-300-027.txt,0.335121,50
100-300-028.txt,0.334163,48
100-300-029.txt,0.334803,54
100-300-030.txt,0.338985,45
100-300-031.txt,0.313395,48
100-300-032.txt,0.346647,49
100-300-033.txt,0.345194,52
100-300-034.txt,0.346106,45
100-300-035.txt,0.340179,49
100-300-036.txt,0.342463,42
100-300-037.txt,0.34411,54
100-300-038.txt,0.340177,50
100-300-039.txt,0.344767,48
100-300-040.txt,0.341644,46
100-300-041.txt,0.345473,48
100-300-042.txt,0.340313,53
100-300-043.txt,0.343225,52
100-300-044.txt,0.343098,48
100-300-045.txt,0.339757,48
100-300-046.txt,0.339259,56
100-300-047.txt,0.356692,54
100-300-048.txt,0.338435,54
100-300-049.txt,0.347011,54
100-300-050.txt,0.343481,50
100-300-051.txt,0.344379,48
100-300-052.txt,0.341262,43
100-300-053.txt,0.345132,50
100-300-054.txt,0.340357,63
100-300-055.txt,0.350358,44
100-300-056.txt,0.343666,55
100-300-057.txt,0.348414,48
100-300-058.txt,0.344691,52
100-300-059.txt,0.344311,50
100-300-060.txt,0.343301,48
100-300-061.txt,0.34503,52
100-300-062.txt,0.347124,43
100-300-063.txt,0.347546,42
100-300-064.txt,0.342093,45
100-300-065.txt,0.345199,53
100-300-066.txt,0.343468,45
100-300-067.txt,0.348063,47
100-300-068.txt,0.341972,46
100-300-069.txt,0.344752,50
100-300-070.txt,0.344961,55
100-300-071.txt,0.343172,44
100-300-072.txt,0.348455,56
100-300-073.txt,0.340474,50
100-300-074.txt,0.3494,45
100-300-075.txt,0.339765,52
100-300-076.txt,0.340391,48
100-300-077.txt,0.349877,47
100-300-078.txt,0.339488,50
100-300-079.txt,0.346813,48
100-300-080.txt,0.34471,51
100-300-081.txt,0.340426,50
100-300-082.txt,0.342256,51
100-300-083.txt,0.348318,47
100-300-084.txt,0.348746,55
100-300-085.txt,0.33968,48
100-300-086.txt,0.337221,51
100-300-087.txt,0.345068,42
100-300-088.txt,0.341476,49
100-300-089.txt,0.346491,45
100-300-090.txt,0.340123,47
100-300-091.txt,0.341877,53
100-300-092.txt,0.338472,45
100-300-093.txt,0.341877,43
100-300-094.txt,0.34272,47
100-300-095.txt,0.341668,44
100-300-096.txt,0.345242,51
100-300-097.txt,0.350604,52
100-300-098.txt,0.339283,54
100-300-099.txt,0.34604,47
100-300-100.txt,0.343006,52
100-600-001.txt,1.40729,47
100-600-002.txt,1.3959,54
100-600-003.txt,1.41467,39
100-600-004.txt,1.40687,49
100-600-005.txt,1.4063,51
100-600-006.txt,1.3995,49
100-600-007.txt,1.41739,40
100-600-008.txt,1.41405,49
100-600-009.txt,1.40915,44
100-600-010.txt,1.40451,53
100-600-011.txt,1.42629,50
100-600-012.txt,1.42168,47
100-600-013.txt,1.41739,48
100-600-014.txt,1.40634,52
100-600-015.txt,1.40155,45
100-600-016.txt,1.40315,53
100-600-017.txt,1.40965,48
100-600-018.txt,1.41547,47
100-600-019.txt,1.40473,57
100-600-020.txt,1.40768,48
100-600-021.txt,1.40079,47
100-600-022.txt,1.41885,47
100-600-023.txt,1.4141,49
100-600-024.txt,1.40563,49
100-600-025.txt,1.40487,51
100-600-026.txt,1.40655,48
100-600-027.txt,1.41509,47
100-600-028.txt,1.42151,43
100-600-029.txt,1.40921,52
100-600-030.txt,1.41768,49
100-600-031.txt,1.40647,47
100-600-032.txt,1.4171,53
100-600-033.txt,1.39663,51
100-600-034.txt,1.40898,45
100-600-035.txt,1.41712,48
100-600-036.txt,1.42027,46
100-600-037.txt,1.39795,50
100-600-038.txt,1.39264,47
100-600-039.txt,1.40615,54
100-600-040.txt,1.41867,47
100-600-041.txt,1.40304,47
100-600-042.txt,1.40637,56
100-600-043.txt,1.4137,49
100-600-044.txt,1.4168,47
100-600-045.txt,1.40175,48
100-600-046.txt,1.40039,52
100-600-047.txt,1.4143,42
100-600-048.txt,1.40077,50
100-600-049.txt,1.42092,47
100-600-050.txt,1.41505,45
100-600-051.txt,1.40596,48
100-600-052.txt,1.40967,45
100-600-053.txt,1.4238,58
100-600-054.txt,1.41586,47
100-600-055.txt,1.40774,43
100-600-056.txt,1.4224,51
100-600-057.txt,1.415,50
100-600-058.txt,1.40818,50
100-600-059.txt,1.41013,52
100-600-060.txt,1.41214,49
100-600-061.txt,1.42016,45
100-600-062.txt,1.40862,51
100-600-063.txt,1.42337,50
100-600-064.txt,1.40499,58
100-600-065.txt,1.42067,47
100-600-066.txt,1.41265,48
100-600-067.txt,1.41035,50
100-600-068.txt,1.40842,50
100-600-069.txt,1.39286,48
100-600-070.txt,1.4031,47
100-600-071.txt,1.41048,54
100-600-072.txt,1.4159,48
100-600-073.txt,1.42554,50
100-600-074.txt,1.3879,49
100-600-075.txt,1.43355,52
100-600-076.txt,1.96066,51
100-600-077.txt,1.55328,56
100-600-078.txt,1.5161,42
100-600-079.txt,1.43343,40
100-600-080.txt,1.41414,47
100-600-081.txt,1.41549,50
100-600-082.txt,1.41246,45
100-600-083.txt,1.42453,48
100-600-084.txt,1.42677,48
100-600-085.txt,1.42586,53
100-600-086.txt,1.60839,45
100-600-087.txt,1.4601,46
100-600-088.txt,1.43607,53
100-600-089.txt,1.47435,48
100-600-090.txt,1.42896,44
100-600-091.txt,1.44744,47
100-600-092.txt,1.44814,49
100-600-093.txt,1.46301,42
100-600-094.txt,1.48601,52
100-600-095.txt,1.44888,47
100-600-096.txt,1.42372,45
100-600-097.txt,1.41847,48
100-600-098.txt,1.47695,50
100-600-099.txt,1.41361,51
100-600-100.txt,1.51799,50
100-800-001.txt,2.60489,55
100-800-002.txt,2.5482,46
100-800-003.txt,2.60776,45
100-800-004.txt,2.55585,53
100-800-005.txt,2.54134,48
100-800-006.txt,2.52402,48
100-800-007.txt,2.58315,49
100-800-008.txt,2.89403,54
100-800-009.txt,2.55377,49
100-800-010.txt,2.55325,42
100-800-011.txt,2.5497,47
100-800-012.txt,2.54593,46
100-800-013.txt,2.53895,55
100-800-014.txt,2.56448,44
100-800-015.txt,2.52909,47
100-800-016.txt,2.4785,51
100-800-017.txt,2.52057,41
100-800-018.txt,2.53462,55
100-800-019.txt,2.52498,49
100-800-020.txt,2.51825,51
100-800-021.txt,2.55026,49
100-800-022.txt,2.52604,49
100-800-023.txt,2.53985,47
100-800-024.txt,2.51717,52
100-800-025.txt,2.51879,46
100-800-026.txt,2.52217,52
100-800-027.txt,2.51347,54
100-800-028.txt,2.53739,47
100-800-029.txt,2.51507,47
100-800-030.txt,2.5129,51
100-800-031.txt,2.52085,53
100-800-032.txt,2.55243,45
100-800-033.txt,2.52307,45
100-800-034.txt,2.51878,54
100-800-035.txt,2.52967,47
100-800-036.txt,2.51995,51
100-800-037.txt,2.52253,46
100-800-038.txt,2.52106,53
100-800-039.txt,2.51446,50
100-800-040.txt,2.53577,48
100-800-041.txt,2.53452,46
100-800-042.txt,2.54173,45
100-800-043.txt,2.53983,49
100-800-044.txt,2.54384,50
100-800-045.txt,2.52433,43
100-800-046.txt,2.52093,53
100-800-047.txt,2.52676,45
100-800-048.txt,2.5325,50
100-800-049.txt,2.54308,49
100-800-050.txt,2.53911,50
100-800-051.txt,2.54295,56
100-800-052.txt,2.5357,50
100-800-053.txt,2.51713,45
100-800-054.txt,2.50426,54
100-800-055.txt,2.54498,43
100-800-056.txt,2.51621,52
100-800-057.txt,2.5273,46
100-800-058.txt,2.52171,47
100-800-059.txt,2.52314,49
100-800-060.txt,2.50651,44
100-800-061.txt,2.53537,46
100-800-062.txt,2.50952,49
100-800-063.txt,2.53073,47
100-800-064.txt,2.53887,53
100-800-065.txt,2.51697,45
100-800-066.txt,2.51775,46
100-800-067.txt,2.53342,49
100-800-068.txt,2.53677,42
100-800-069.txt,2.51813,53
100-800-070.txt,2.53694,53
100-800-071.txt,2.51988,51
100-800-072.txt,2.52732,46
100-800-073.txt,2.53078,49
100-800-074.txt,2.52902,52
100-800-075.txt,2.54661,47
100-800-076.txt,2.53019,51
100-800-077.txt,2.53633,52
100-800-078.txt,2.51737,53
100-800-079.txt,2.51969,50
100-800-080.txt,2.53396,50
100-800-081.txt,2.51872,52
100-800-082.txt,2.53116,51
100-800-083.txt,2.52672,52
100-800-084.txt,2.52928,48
100-800-085.txt,2.54494,39
100-800-086.txt,2.53897,55
100-800-087.txt,2.51754,53
100-800-088.txt,2.52236,49
100-800-089.txt,2.52469,52
100-800-090.txt,2.51411,48
100-800-091.txt,2.53288,52
100-800-092.txt,2.52446,48
100-800-093.txt,2.52127,47
100-800-094.txt,2.52975,46
100-800-095.txt,2.54617,49
100-800-096.txt,2.52025,52
100-800-097.txt,2.53958,49
100-800-098.txt,2.51534,52
100-800-099.txt,2.51697,48
100-800-100.txt,2.51832,56
200-300-001.txt,0.695146,49
200-300-002.txt,0.686906,55
200-300-003.txt,0.704594,45
200-300-004.txt,0.695053,54
200-300-005.txt,0.691668,56
200-300-006.txt,0.692684,66
200-300-007.txt,0.683193,57
200-300-008.txt,0.689846,58
200-300-009.txt,0.690896,62
200-300-010.txt,0.686513,57
200-300-011.txt,0.706631,60
200-300-012.txt,0.704535,63
200-300-013.txt,0.698042,46
200-300-014.txt,0.701287,62
200-300-015.txt,0.69483,50
200-300-016.txt,0.695092,55
200-300-017.txt,0.701049,48
200-300-018.txt,0.687169,57
200-300-019.txt,0.690146,60
200-300-020.txt,0.703287,56
200-300-021.txt,0.711224,56
200-300-022.txt,0.71214,53
200-300-023.txt,0.695783,56
200-300-024.txt,0.698027,56
200-300-025.txt,0.694741,50
200-300-026.txt,0.694996,58
200-300-027.txt,0.685008,60
200-300-028.txt,0.706792,52
200-300-029.txt,0.698036,54
200-300-030.txt,0.692034,62
200-300-031.txt,0.694592,58
200-300-032.txt,0.691368,55
200-300-033.txt,0.702994,64
200-300-034.txt,0.705991,49
200-300-035.txt,0.726092,38
200-300-036.txt,0.696001,52
200-300-037.txt,0.777039,64
200-300-038.txt,0.702188,65
