Archivo,Tiempo (segundos),Calidad
100-300-001.txt,0.186847,100
100-300-002.txt,0.191431,96
100-300-003.txt,0.183784,99
100-300-004.txt,0.186948,97
100-300-005.txt,0.197073,96
100-300-006.txt,0.19216,97
100-300-007.txt,0.18691,99
100-300-008.txt,0.19917,96
100-300-009.txt,0.182436,99
100-300-010.txt,0.189362,97
100-300-011.txt,0.184684,98
100-300-012.txt,0.27597,97
100-300-013.txt,0.196642,99
100-300-014.txt,0.194429,96
100-300-015.txt,0.271388,96
100-300-016.txt,0.186567,98
100-300-017.txt,0.193526,96
100-300-018.txt,0.182316,99
100-300-019.txt,0.187517,99
100-300-020.txt,0.183934,98
100-300-021.txt,0.186973,99
100-300-022.txt,0.183453,99
100-300-023.txt,0.18614,97
100-300-024.txt,0.192368,97
100-300-025.txt,0.17987,97
100-300-026.txt,0.187387,97
100-300-027.txt,0.181082,97
100-300-028.txt,0.183317,99
100-300-029.txt,0.185005,98
100-300-030.txt,0.18834,97
100-300-031.txt,0.179529,98
100-300-032.txt,0.185538,96
100-300-033.txt,0.181367,97
100-300-034.txt,0.184455,98
100-300-035.txt,0.187544,98
100-300-036.txt,0.183967,96
100-300-037.txt,0.185537,100
100-300-038.txt,0.182817,98
100-300-039.txt,0.182769,99
100-300-040.txt,0.181715,100
100-300-041.txt,0.18029,98
100-300-042.txt,0.184333,98
100-300-043.txt,0.181454,98
100-300-044.txt,0.183685,99
100-300-045.txt,0.184953,100
100-300-046.txt,0.181036,98
100-300-047.txt,0.187075,95
100-300-048.txt,0.185112,97
100-300-049.txt,0.185489,98
100-300-050.txt,0.184421,96
100-300-051.txt,0.184181,100
100-300-052.txt,0.184463,98
100-300-053.txt,0.185286,97
100-300-054.txt,0.181178,96
100-300-055.txt,0.18805,100
100-300-056.txt,0.189725,97
100-300-057.txt,0.185112,96
100-300-058.txt,0.188223,97
100-300-059.txt,0.188769,99
100-300-060.txt,0.186506,98
100-300-061.txt,0.183327,99
100-300-062.txt,0.188809,98
100-300-063.txt,0.18545,99
100-300-064.txt,0.186335,97
100-300-065.txt,0.18247,98
100-300-066.txt,0.184209,98
100-300-067.txt,0.183859,98
100-300-068.txt,0.18374,99
100-300-069.txt,0.18362,96
100-300-070.txt,0.184871,100
100-300-071.txt,0.185158,99
100-300-072.txt,0.185934,99
100-300-073.txt,0.184755,95
100-300-074.txt,0.18278,97
100-300-075.txt,0.182948,97
100-300-076.txt,0.185388,100
100-300-077.txt,0.184012,99
100-300-078.txt,0.184462,97
100-300-079.txt,0.184257,96
100-300-080.txt,0.184159,98
100-300-081.txt,0.185922,96
100-300-082.txt,0.18575,97
100-300-083.txt,0.187987,97
100-300-084.txt,0.185155,97
100-300-085.txt,0.184602,97
100-300-086.txt,0.183328,97
100-300-087.txt,0.187238,98
100-300-088.txt,0.188227,97
100-300-089.txt,0.187052,96
100-300-090.txt,0.187099,96
100-300-091.txt,0.183962,99
100-300-092.txt,0.183445,95
100-300-093.txt,0.184286,98
100-300-094.txt,0.184277,98
100-300-095.txt,0.185117,96
100-300-096.txt,0.184386,100
100-300-097.txt,0.185628,98
100-300-098.txt,0.183957,98
100-300-099.txt,0.185267,97
100-300-100.txt,0.182419,98
